organization,abbreviation,type,domain,scope,hq_country,founded,url,pep_url,pep_label
Arab Monetary Fund,AMF,Development bank/IFI,Finance & development,Regional,United Arab Emirates,1976,https://www.amf.org.ae,https://www.amf.org.ae/en/page/board-directors,Board of Directors
Arab Monetary Fund,AMF,Development bank/IFI,Finance & development,Regional,United Arab Emirates,1976,https://www.amf.org.ae,https://www.amf.org.ae/en/page/board-governors,Board of Governors
Arab Monetary Fund,AMF,Development bank/IFI,Finance & development,Regional,United Arab Emirates,1976,https://www.amf.org.ae,https://www.amf.org.ae/en/page/governance-framework,Governance Framework
Asian Development Bank,ADB,Development bank/IFI,Finance & development,Regional,Philippines,1966,https://www.adb.org,https://www.adb.org/who-we-are/organization/board-directors,Board of Directors
Asian Development Bank,ADB,Development bank/IFI,Finance & development,Regional,Philippines,1966,https://www.adb.org,https://www.adb.org/who-we-are/organization,How We're Organized
Asian Development Bank,ADB,Development bank/IFI,Finance & development,Regional,Philippines,1966,https://www.adb.org,https://www.adb.org/who-we-are/organization/board-governors,Board of Governors
Asian Infrastructure Investment Bank,AIIB,Development bank/IFI,Finance & development,Regional,China,2016,https://www.aiib.org,https://www.aiib.org/en/about-aiib/governance/senior-management/index.html,Senior Management
Asian Infrastructure Investment Bank,AIIB,Development bank/IFI,Finance & development,Regional,China,2016,https://www.aiib.org,https://www.aiib.org/en/about-aiib/governance/board-directors/board-members/index.html,Board members
Asian Infrastructure Investment Bank,AIIB,Development bank/IFI,Finance & development,Regional,China,2016,https://www.aiib.org,https://www.aiib.org/en/who-we-are/about-aiib/leadership/index.html,AIIB Leadership
Bank for International Settlements,BIS,Development bank/IFI,Finance & development,Global,Switzerland,1930,https://www.bis.org,https://www.bis.org/about/board.htm,Board of Directors
Bank for International Settlements,BIS,Development bank/IFI,Finance & development,Global,Switzerland,1930,https://www.bis.org,https://www.bis.org/about/officials.htm,Management of BIS
Black Sea Trade and Development Bank,BSTDB,Development bank/IFI,Finance & development,Regional,Greece,1997,https://www.bstdb.org,https://www.bstdb.org/who-we-are/how-we-are-structured/board-of-directors,Board of Directors
Black Sea Trade and Development Bank,BSTDB,Development bank/IFI,Finance & development,Regional,Greece,1997,https://www.bstdb.org,https://www.bstdb.org/who-we-are/how-we-are-structured/management,Management
CAF - Development Bank of Latin America and the Caribbean,CAF,Development bank/IFI,Finance & development,Regional,Venezuela,1970,https://www.caf.com,https://www.caf.com/en/who-we-are/organization-chart/,Organization chart
CAF - Development Bank of Latin America and the Caribbean,CAF,Development bank/IFI,Finance & development,Regional,Venezuela,1970,https://www.caf.com,https://www.caf.com/en/who-we-are/organization-chart/directory/,Directory
CAF - Development Bank of Latin America and the Caribbean,CAF,Development bank/IFI,Finance & development,Regional,Venezuela,1970,https://www.caf.com,https://www.caf.com/en/who-we-are/organization-chart/executive-presidency/,Executive Presidency
Caribbean Development Bank,CDB,Development bank/IFI,Finance & development,Sub-regional,Barbados,1969,https://www.caribank.org,https://www.caribank.org/about-us/bank-organisation/board-directors,Board of Directors
Caribbean Development Bank,CDB,Development bank/IFI,Finance & development,Sub-regional,Barbados,1969,https://www.caribank.org,https://www.caribank.org/about-us/bank-organisation/board-governors,Board of Governors
Caribbean Development Bank,CDB,Development bank/IFI,Finance & development,Sub-regional,Barbados,1969,https://www.caribank.org,https://www.caribank.org/about-us/bank-organisation,Bank Organisation
Central American Bank for Economic Integration,CABEI,Development bank/IFI,Finance & development,Sub-regional,Honduras,1960,https://www.bcie.org,https://archive.bcie.org/en/about-us/organizational-structure/directors,Directory
Central American Bank for Economic Integration,CABEI,Development bank/IFI,Finance & development,Sub-regional,Honduras,1960,https://www.bcie.org,https://www.bcie.org/en/about-us/organizational-structure/departments-and-offices,Departments and Offices
Council of Europe Development Bank,CEB,Development bank/IFI,Finance & development,Regional,France,1956,https://coebank.org,https://coebank.org/en/about/structure-management/governing-board/,Governing Board members
Council of Europe Development Bank,CEB,Development bank/IFI,Finance & development,Regional,France,1956,https://coebank.org,https://coebank.org/en/about/structure-management/administrative-council/,Administrative Council members
Council of Europe Development Bank,CEB,Development bank/IFI,Finance & development,Regional,France,1956,https://coebank.org,https://coebank.org/en/about/structure-management/,Structure & management
Development Bank of the Central African States,BDEAC,Development bank/IFI,Finance & development,Sub-regional,Congo (Republic),1975,https://www.bdeac.org,https://www.bdeac.org/jcms/ess_5045/organigramme,Organigramme
Development Bank of the Central African States,BDEAC,Development bank/IFI,Finance & development,Sub-regional,Congo (Republic),1975,https://www.bdeac.org,https://www.bdeac.org/jcms/pre_8246/la-presidence-de-la-bdeac,Presidence
Development Bank of the Central African States,BDEAC,Development bank/IFI,Finance & development,Sub-regional,Congo (Republic),1975,https://www.bdeac.org,https://www.bdeac.org/jcms/ess_5488/gouvernance-de-la-bdeac,Gouvernance
East African Development Bank,EADB,Development bank/IFI,Finance & development,Sub-regional,Uganda,1967,https://www.eadb.org,https://eadb.org/about/structure/,Structure
East African Development Bank,EADB,Development bank/IFI,Finance & development,Sub-regional,Uganda,1967,https://www.eadb.org,https://eadb.org/about/our-team/,Our Team
Eastern and Southern African Trade and Development Bank,TDB,Development bank/IFI,Finance & development,Regional,Burundi,1985,https://www.tdbgroup.org,https://www.tdbgroup.org/about-us/,About Us leadership
ECOWAS Bank for Investment and Development,EBID,Development bank/IFI,Finance & development,Sub-regional,Togo,1975,https://www.bidc-ebid.org,https://www.bidc-ebid.org/en/home/board-of-directors/,Board of Directors
ECOWAS Bank for Investment and Development,EBID,Development bank/IFI,Finance & development,Sub-regional,Togo,1975,https://www.bidc-ebid.org,https://www.bidc-ebid.org/en/management/,Management
ECOWAS Bank for Investment and Development,EBID,Development bank/IFI,Finance & development,Sub-regional,Togo,1975,https://www.bidc-ebid.org,https://www.bidc-ebid.org/en/home/board-of-governors/,Board of Governors
Eurasian Development Bank,EDB,Development bank/IFI,Finance & development,Regional,Kazakhstan,2006,https://eabr.org,https://eabr.org/en/about/bank-management/chairman/,Management Board Chairman
Eurasian Development Bank,EDB,Development bank/IFI,Finance & development,Regional,Kazakhstan,2006,https://eabr.org,https://eabr.org/en/about/,About / governance
European Bank for Reconstruction and Development,EBRD,Development bank/IFI,Finance & development,Regional,United Kingdom,1991,https://www.ebrd.com,https://www.ebrd.com/home/who-we-are/our-organisation/ebrd-governance-leadership/ebrd-board-of-directors.html,Board of Directors
European Bank for Reconstruction and Development,EBRD,Development bank/IFI,Finance & development,Regional,United Kingdom,1991,https://www.ebrd.com,https://www.ebrd.com/home/who-we-are/our-organisation/ebrd-governance-leadership/ebrd-executive-committee.html,Executive Committee
European Bank for Reconstruction and Development,EBRD,Development bank/IFI,Finance & development,Regional,United Kingdom,1991,https://www.ebrd.com,https://www.ebrd.com/home/who-we-are/our-organisation/ebrd-governance-leadership.html,Governance and leadership
European Investment Bank,EIB,Development bank/IFI,Finance & development,Regional,Luxembourg,1958,https://www.eib.org,https://www.eib.org/en/about/governance-and-structure/statutory-bodies/board-directors/index,Board of Directors
European Investment Bank,EIB,Development bank/IFI,Finance & development,Regional,Luxembourg,1958,https://www.eib.org,https://www.eib.org/en/about/governance-and-structure/statutory-bodies/management-committee/index,Management Committee
European Investment Bank,EIB,Development bank/IFI,Finance & development,Regional,Luxembourg,1958,https://www.eib.org,https://www.eib.org/en/about/governance-and-structure/statutory-bodies/board-governors/index,Board of Governors
Inter-American Development Bank,IDB,Development bank/IFI,Finance & development,Regional,United States,1959,https://www.iadb.org,https://www.iadb.org/en/who-we-are/how-we-are-organized/board-executive-directors/executive-directors-and-alternates,Executive Directors
Inter-American Development Bank,IDB,Development bank/IFI,Finance & development,Regional,United States,1959,https://www.iadb.org,https://www.iadb.org/en/who-we-are/how-we-are-organized/board-executive-directors,Board of Executive Directors
Inter-American Development Bank,IDB,Development bank/IFI,Finance & development,Regional,United States,1959,https://www.iadb.org,https://www.iadb.org/en/who-we-are/how-we-are-organized/management-biographies,Management Biographies
Inter-American Investment Corporation (IDB Invest),IDB Invest,Development bank/IFI,Finance & development,Regional,United States,1989,https://www.idbinvest.org,https://idbinvest.org/en/corporate-governance,Corporate Governance
Inter-American Investment Corporation (IDB Invest),IDB Invest,Development bank/IFI,Finance & development,Regional,United States,1989,https://www.idbinvest.org,https://idbinvest.org/en/about-us/our-corporate-structure,Corporate Structure
International Bank for Reconstruction and Development,IBRD,Development bank/IFI,Finance & development,Global,United States,1944,https://www.worldbank.org,https://www.worldbank.org/en/about/leadership/directors,Boards of Directors
International Bank for Reconstruction and Development,IBRD,Development bank/IFI,Finance & development,Global,United States,1944,https://www.worldbank.org,https://www.worldbank.org/en/about/leadership,Leadership / Organization
International Development Association,IDA,Development bank/IFI,Finance & development,Global,United States,1960,https://ida.worldbank.org,https://ida.worldbank.org/en/about/how-does-ida-work,How IDA Works
International Finance Corporation,IFC,Development bank/IFI,Finance & development,Global,United States,1956,https://www.ifc.org,https://www.ifc.org/en/about/leadership,Leadership
International Investment Bank,IIB,Development bank/IFI,Finance & development,Regional,Hungary,1970,https://iib.int,https://iib.int/en/about,General Information
Islamic Development Bank,IsDB,Development bank/IFI,Finance & development,Regional,Saudi Arabia,1973,https://www.isdb.org,https://www.isdb.org/leadership/board-of-executive-directors,Board of Executive Directors
Islamic Development Bank,IsDB,Development bank/IFI,Finance & development,Regional,Saudi Arabia,1973,https://www.isdb.org,https://www.isdb.org/leadership/senior-management,Senior Management
Islamic Development Bank,IsDB,Development bank/IFI,Finance & development,Regional,Saudi Arabia,1973,https://www.isdb.org,https://www.isdb.org/president,President
Kuwait Fund for Arab Economic Development,KFAED,Development bank/IFI,Finance & development,Global,Kuwait,1961,https://www.kuwait-fund.org,https://www.kuwait-fund.org/web/kfund/who-we-are,Who We Are
Kuwait Fund for Arab Economic Development,KFAED,Development bank/IFI,Finance & development,Global,Kuwait,1961,https://www.kuwait-fund.org,https://www.kuwait-fund.org/en/web/kfund/board-meetings,Board Meetings
Multilateral Investment Guarantee Agency,MIGA,Development bank/IFI,Finance & development,Global,United States,1988,https://www.miga.org,https://www.miga.org/board-directors,Board of Directors
Multilateral Investment Guarantee Agency,MIGA,Development bank/IFI,Finance & development,Global,United States,1988,https://www.miga.org,https://www.miga.org/about/management,Senior Leadership
New Development Bank,NDB,Development bank/IFI,Finance & development,Regional,China,2015,https://www.ndb.int,https://www.ndb.int/governance/boards/,Boards
New Development Bank,NDB,Development bank/IFI,Finance & development,Regional,China,2015,https://www.ndb.int,https://www.ndb.int/governance/senior-management/,Senior Management
Nordic Investment Bank,NIB,Development bank/IFI,Finance & development,Regional,Finland,1975,https://www.nib.int,https://www.nib.int/about/board-of-directors,Board of Directors
Nordic Investment Bank,NIB,Development bank/IFI,Finance & development,Regional,Finland,1975,https://www.nib.int,https://www.nib.int/about/executive-committee,Executive Committee
Nordic Investment Bank,NIB,Development bank/IFI,Finance & development,Regional,Finland,1975,https://www.nib.int,https://www.nib.int/about/control-committee-and-auditors,Control Committee
OPEC Fund for International Development,OFID,Development bank/IFI,Finance & development,Global,Austria,1976,https://opecfund.org,https://opecfund.org/who-we-are/the-organization/governing-board,Governing Board
OPEC Fund for International Development,OFID,Development bank/IFI,Finance & development,Global,Austria,1976,https://opecfund.org,https://opecfund.org/who-we-are/the-organization/director-general,Director-General / President
Saudi Fund for Development,SFD,Development bank/IFI,Finance & development,Global,Saudi Arabia,1974,https://www.sfd.gov.sa,https://www.sfd.gov.sa/en/board-of-directors-view,Board of Directors
Saudi Fund for Development,SFD,Development bank/IFI,Finance & development,Global,Saudi Arabia,1974,https://www.sfd.gov.sa,https://www.sfd.gov.sa/en/node/281,Chief Executive Officer
West African Development Bank,BOAD,Development bank/IFI,Finance & development,Sub-regional,Togo,1973,https://www.boad.org,https://www.boad.org/en/find-out-more/boad-board-of-directors/,Board of Directors
West African Development Bank,BOAD,Development bank/IFI,Finance & development,Sub-regional,Togo,1973,https://www.boad.org,https://www.boad.org/en/find-out-more/governance,Governance
"Gavi, the Vaccine Alliance",Gavi,Development bank/IFI,Health,Global,Switzerland,2000,https://www.gavi.org,https://www.gavi.org/governance/gavi-board/members,Board members
"Gavi, the Vaccine Alliance",Gavi,Development bank/IFI,Health,Global,Switzerland,2000,https://www.gavi.org,https://www.gavi.org/about-us/governance,Governance
"Gavi, the Vaccine Alliance",Gavi,Development bank/IFI,Health,Global,Switzerland,2000,https://www.gavi.org,https://www.gavi.org/operating-model/gavi-secretariat,Gavi Secretariat
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Global Fund,Development bank/IFI,Health,Global,Switzerland,2002,https://www.theglobalfund.org,https://www.theglobalfund.org/en/board/,Board
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",Global Fund,Development bank/IFI,Health,Global,Switzerland,2002,https://www.theglobalfund.org,https://www.theglobalfund.org/en/board/committees/,Board committees
Australia Group,AG,Informal grouping,Arms control,Global,Australia,1985,https://www.australiagroup.net,,
Missile Technology Control Regime,MTCR,Informal grouping,Arms control,Global,France,1987,https://www.mtcr.info,https://www.mtcr.info/en/partners/mtcr-experts-groups,Experts Groups
Missile Technology Control Regime,MTCR,Informal grouping,Arms control,Global,France,1987,https://www.mtcr.info,https://www.mtcr.info/en/partners,Partners
Nuclear Suppliers Group,NSG,Informal grouping,Arms control,Global,Austria,1975,https://www.nuclearsuppliersgroup.org,https://www.nuclearsuppliersgroup.org/index.php/en/about/organisation,Organisation
Nuclear Suppliers Group,NSG,Informal grouping,Arms control,Global,Austria,1975,https://www.nuclearsuppliersgroup.org,http://www.nuclearsuppliersgroup.org/index.php/en/about/chairs-corner,Chair's Corner
Nuclear Suppliers Group,NSG,Informal grouping,Arms control,Global,Austria,1975,https://www.nuclearsuppliersgroup.org,https://www.nuclearsuppliersgroup.org/index.php/en/about/participants,Participants
Proliferation Security Initiative,PSI,Informal grouping,Arms control,Global,?,2003,https://www.psi-online.info,https://www.psi-online.info/psi-info-en/themen/2077926-2077926,Operational Experts Group
Wassenaar Arrangement,WA,Informal grouping,Arms control,Global,Austria,1996,https://www.wassenaar.org,https://www.wassenaar.org/about-us/,About us governance
Zangger Committee,ZAC,Informal grouping,Arms control,Global,?,1971,https://zanggercommittee.org,https://www.zanggercommittee.org/members.html,Members
Zangger Committee,ZAC,Informal grouping,Arms control,Global,?,1971,https://zanggercommittee.org,https://www.zanggercommittee.org/contact-us.html,Contact secretariat
Egmont Group of Financial Intelligence Units,Egmont Group,Informal grouping,Finance & development,Global,Canada,1995,https://egmontgroup.org,https://egmontgroup.org/about/leadership/,Leadership
Egmont Group of Financial Intelligence Units,Egmont Group,Informal grouping,Finance & development,Global,Canada,1995,https://egmontgroup.org,https://egmontgroup.org/about/organization-and-structure/,Organization and Structure
Egmont Group of Financial Intelligence Units,Egmont Group,Informal grouping,Finance & development,Global,Canada,1995,https://egmontgroup.org,https://egmontgroup.org/en/content/egmont-group-secretariat,Secretariat
Group of 15,G15,Informal grouping,Finance & development,Global,?,1989,?,,
Group of 24,G24,Informal grouping,Finance & development,Global,United States,1971,https://www.g24.org,https://g24.org/about/organizational-structure-and-governance/,Structure and Governance
Group of 24,G24,Informal grouping,Finance & development,Global,United States,1971,https://www.g24.org,https://g24.org/secretariat/,Secretariat
Group of 24,G24,Informal grouping,Finance & development,Global,United States,1971,https://www.g24.org,https://g24.org/members/,Members
Group of 77,G77,Informal grouping,Finance & development,Global,United States,1964,https://www.g77.org,https://www.g77.org/doc/presiding.html,Chairmanship in New York
Group of 77,G77,Informal grouping,Finance & development,Global,United States,1964,https://www.g77.org,https://www.g77.org/doc/,Structure and chapters
Group of Ten,G10,Informal grouping,Finance & development,Global,Switzerland,1962,?,,
Group of Twenty,G20,Informal grouping,Finance & development,Global,?,1999,https://www.g20.org,https://g20.org/about-g20/,About and structure
London Club,London Club,Informal grouping,Finance & development,Global,?,1976,?,,
Paris Club,Paris Club,Informal grouping,Finance & development,Global,France,1956,https://clubdeparis.org,https://clubdeparis.org/en/communications/page/the-chair-and-the-secretariat-of-the-paris-club,Chair and Secretariat
Paris Club,Paris Club,Informal grouping,Finance & development,Global,France,1956,https://clubdeparis.org,https://clubdeparis.org/en/communications/page/who-are-the-members-of-the-paris-club,Members
ASEAN Plus Three,APT+3,Informal grouping,General,Regional,Indonesia,1997,https://asean.org,https://aseanplusthree.asean.org/about-apt/,About APT mechanisms
ASEAN Plus Three,APT+3,Informal grouping,General,Regional,Indonesia,1997,https://asean.org,https://asean.org/what-we-do/secretary-general-of-asean/,Secretary-General of ASEAN
Bilderberg Meeting,Bilderberg,Informal grouping,General,Global,?,1954,https://www.bilderbergmeetings.org,https://www.bilderbergmeetings.org/background/steering-committee/steering-committee,Steering Committee
Bilderberg Meeting,Bilderberg,Informal grouping,General,Global,?,1954,https://www.bilderbergmeetings.org,https://www.bilderbergmeetings.org/background/governance-and-funding,Governance and funding
BRICS,BRICS,Informal grouping,General,Global,?,2009,?,,
East Asia Summit,EAS,Informal grouping,General,Regional,Indonesia,2005,https://asean.org,https://eastasiasummit.asean.org/about-east-asia-summit,About the EAS
East Asia Summit,EAS,Informal grouping,General,Regional,Indonesia,2005,https://asean.org,https://eastasiasummit.asean.org/eas-participating-country,Participating countries
Group of Eight,G8,Informal grouping,General,Global,?,1997,?,,
Group of Seven,G7,Informal grouping,General,Global,?,1975,?,,
Non-Aligned Movement,NAM,Informal grouping,General,Global,?,1961,?,,
Visegrad Group,V4,Informal grouping,General,Sub-regional,?,1991,https://www.visegradgroup.eu,https://www.visegradgroup.eu/home/v4-presidency,V4 Presidency
Open Government Partnership,OGP,Informal grouping,Justice & law,Global,United States,2011,https://www.opengovpartnership.org,https://www.opengovpartnership.org/about/who-we-are/steering-committee/sc-composition/,Steering Committee composition
Open Government Partnership,OGP,Informal grouping,Justice & law,Global,United States,2011,https://www.opengovpartnership.org,https://www.opengovpartnership.org/about/who-we-are/board-of-directors/,Board of Directors
ASEAN Regional Forum,ARF,Informal grouping,Security & defense,Regional,Indonesia,1994,https://aseanregionalforum.asean.org,https://aseanregionalforum.asean.org/about-arf/,About / governance
AUKUS,AUKUS,Informal grouping,Security & defense,Regional,?,2021,?,,
Five Eyes,FVEY,Informal grouping,Security & defense,Global,?,1946,?,,
Quadrilateral Security Dialogue,Quad,Informal grouping,Security & defense,Regional,?,2007,?,,
"Bangladesh, Bhutan, India, Nepal Initiative",BBIN,Informal grouping,Trade & economy,Sub-regional,India,2015,?,,
International Competition Network,ICN,Informal grouping,Trade & economy,Global,?,2001,https://www.internationalcompetitionnetwork.org,https://www.internationalcompetitionnetwork.org/working-groups/icn-operations/steering-group/steering-group-members/,Steering Group members
International Competition Network,ICN,Informal grouping,Trade & economy,Global,?,2001,https://www.internationalcompetitionnetwork.org,https://www.internationalcompetitionnetwork.org/working-groups/icn-operations/steering-group/,Steering Group
Kimberley Process Certification Scheme,KPCS,Informal grouping,Trade & economy,Global,?,2003,https://www.kimberleyprocess.com,https://www.kimberleyprocess.com/about/kp-governance,Governance
Kimberley Process Certification Scheme,KPCS,Informal grouping,Trade & economy,Global,?,2003,https://www.kimberleyprocess.com,https://www.kimberleyprocess.com/about/kp-secretariat,Secretariat
International Centre for Settlement of Investment Disputes,ICSID,Judicial/tribunal,Finance & development,Global,United States,1966,https://icsid.worldbank.org,https://icsid.worldbank.org/about/secretariat,Secretariat
International Centre for Settlement of Investment Disputes,ICSID,Judicial/tribunal,Finance & development,Global,United States,1966,https://icsid.worldbank.org,https://icsid.worldbank.org/about/member-states/administrative-council,Administrative Council
African Court on Human and Peoples' Rights,AfCHPR,Judicial/tribunal,Justice & law,Regional,Tanzania,2006,https://www.african-court.org,https://www.african-court.org/wpafc/current-judges/,Current Judges
African Union Court of Justice and Human Rights,ACJHR,Judicial/tribunal,Justice & law,Regional,Tanzania,2008,https://au.int,https://au.int/en/legal-organs,Judicial & legal organs
African Union Court of Justice and Human Rights,ACJHR,Judicial/tribunal,Justice & law,Regional,Tanzania,2008,https://au.int,https://au.int/organs/cj,Judicial institutions
Caribbean Court of Justice,CCJ,Judicial/tribunal,Justice & law,Regional,Trinidad and Tobago,2001,https://ccj.org,https://ccj.org/about-the-ccj/judges/,Judges
Caribbean Court of Justice,CCJ,Judicial/tribunal,Justice & law,Regional,Trinidad and Tobago,2001,https://ccj.org,https://ccj.org/about-the-ccj/who-we-are/,Who we are
Central American Court of Justice,CACJ,Judicial/tribunal,Justice & law,Sub-regional,Nicaragua,1994,https://portal.ccj.org.ni,http://portal.ccj.org.ni/ccj/,Court (magistrados)
Court of Arbitration for Sport,CAS,Judicial/tribunal,Justice & law,Global,Switzerland,1984,https://www.tas-cas.org,https://www.tas-cas.org/en/icas/the-board.html,ICAS Board
Court of Arbitration for Sport,CAS,Judicial/tribunal,Justice & law,Global,Switzerland,1984,https://www.tas-cas.org,https://www.tas-cas.org/en/icas/members-2023-2026/,ICAS Members
EFTA Court,EFTA Court,Judicial/tribunal,Justice & law,Regional,Luxembourg,1994,https://eftacourt.int,https://eftacourt.int/the-court/judges-and-staff/,Judges and Staff
European Court of Human Rights,ECtHR,Judicial/tribunal,Justice & law,Regional,France,1959,https://www.echr.coe.int,https://www.echr.coe.int/composition-of-the-court,Composition of Court
European Court of Human Rights,ECtHR,Judicial/tribunal,Justice & law,Regional,France,1959,https://www.echr.coe.int,https://www.echr.coe.int/presidency-of-the-court,Presidency
European Court of Human Rights,ECtHR,Judicial/tribunal,Justice & law,Regional,France,1959,https://www.echr.coe.int,https://www.echr.coe.int/judicial-formations,Judicial Formations
Extraordinary Chambers in the Courts of Cambodia,ECCC,Judicial/tribunal,Justice & law,Regional,Cambodia,2006,https://www.eccc.gov.kh,https://www.eccc.gov.kh/en/organisation/chambers,Chambers judges
Extraordinary Chambers in the Courts of Cambodia,ECCC,Judicial/tribunal,Justice & law,Regional,Cambodia,2006,https://www.eccc.gov.kh,https://www.eccc.gov.kh/en/organisation/office-of-co-investigating-judges,Co-Investigating Judges
Extraordinary Chambers in the Courts of Cambodia,ECCC,Judicial/tribunal,Justice & law,Regional,Cambodia,2006,https://www.eccc.gov.kh,https://www.eccc.gov.kh/en/organisation/administration/court-management,Court Management
Inter-American Court of Human Rights,IACtHR,Judicial/tribunal,Justice & law,Regional,Costa Rica,1979,https://www.corteidh.or.cr,https://www.corteidh.or.cr/composicion.cfm?lang=en,Meet the Judges
International Court of Justice,ICJ,Judicial/tribunal,Justice & law,Global,Netherlands,1945,https://www.icj-cij.org,https://www.icj-cij.org/current-members,Current Members
International Court of Justice,ICJ,Judicial/tribunal,Justice & law,Global,Netherlands,1945,https://www.icj-cij.org,https://www.icj-cij.org/members,Members of Court
International Criminal Court,ICC,Judicial/tribunal,Justice & law,Global,Netherlands,2002,https://www.icc-cpi.int,https://www.icc-cpi.int/about/presidency,The Presidency
International Criminal Court,ICC,Judicial/tribunal,Justice & law,Global,Netherlands,2002,https://www.icc-cpi.int,https://asp.icc-cpi.int/elections/judges,Judges
International Residual Mechanism for Criminal Tribunals,IRMCT,Judicial/tribunal,Justice & law,Global,Netherlands,2010,https://www.irmct.org,https://www.irmct.org/en/about/principals,Principals
International Residual Mechanism for Criminal Tribunals,IRMCT,Judicial/tribunal,Justice & law,Global,Netherlands,2010,https://www.irmct.org,https://www.irmct.org/en/about/organization,Organization
International Tribunal for the Law of the Sea,ITLOS,Judicial/tribunal,Justice & law,Global,Germany,1996,https://www.itlos.org,https://www.itlos.org/en/main/the-tribunal/members/,Members
International Tribunal for the Law of the Sea,ITLOS,Judicial/tribunal,Justice & law,Global,Germany,1996,https://www.itlos.org,https://www.itlos.org/en/main/the-tribunal/the-president/,The President
Permanent Court of Arbitration,PCA,Judicial/tribunal,Justice & law,Global,Netherlands,1899,https://pca-cpa.org,https://pca-cpa.org/en/about/introduction/administrative-council/,Administrative Council
Permanent Court of Arbitration,PCA,Judicial/tribunal,Justice & law,Global,Netherlands,1899,https://pca-cpa.org,https://pca-cpa.org/en/about/introduction/secretary-general/,Secretary-General
Residual Special Court for Sierra Leone,RSCSL,Judicial/tribunal,Justice & law,Global,Sierra Leone,2013,https://www.rscsl.org,https://rscsl.org/the-rscsl/rscsl-principals/,RSCSL Principals
Residual Special Court for Sierra Leone,RSCSL,Judicial/tribunal,Justice & law,Global,Sierra Leone,2013,https://www.rscsl.org,https://rscsl.org/the-scsl/the-office-of-the-registrar/,Office of Registrar
Special Tribunal for Lebanon,STL,Judicial/tribunal,Justice & law,Global,Netherlands,2009,https://www.stl-tsl.org,https://www.stl-tsl.org/en/about-the-stl/biographies/judges-of-the-special-tribunal-for-lebanon,Judges biographies
Special Tribunal for Lebanon,STL,Judicial/tribunal,Justice & law,Global,Netherlands,2009,https://www.stl-tsl.org,https://www.stl-tsl.org/en/about-the-stl/structure-of-the-stl/the-office-of-the-prosecutor,Office of Prosecutor
"Australia, New Zealand, United States Security Treaty",ANZUS,Military alliance,Security & defense,Regional,?,1951,?,,
Collective Security Treaty Organization,CSTO,Military alliance,Security & defense,Regional,Russia,2002,https://en.odkb-csto.org,https://en.odkb-csto.org/secretary_general/,Secretary General
Collective Security Treaty Organization,CSTO,Military alliance,Security & defense,Regional,Russia,2002,https://en.odkb-csto.org,https://en.odkb-csto.org/structure/,CSTO Structure
Collective Security Treaty Organization,CSTO,Military alliance,Security & defense,Regional,Russia,2002,https://en.odkb-csto.org,https://en.odkb-csto.org/authorized_organs/secretariat/,CSTO Secretariat
